Position #,FullName,Gender,Salary,Department,DepartmentName,Division,AssignmentCategory,Title,HiringAnalyst,VacancyStatus,VacancyDate,BudgetDate,PostingDate,InterviewDate,OfferDate,AcceptanceDate,SecurityCheckDate,HireDate
11588,"KIMPLE, HELLEN",F,"$82,390.70",HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Community Health Nurse II,RICHARD THOMAS,Filled,10/12/12,11/5/12,11/14/12,11/28/12,12/13/12,12/20/12,12/31/12,1/4/13
11589,"ENSEY, ADRIENE",F,"$63,176.99",REC,Department of Recreation,Countywide Programs Therapeutics,Fulltime-Regular,Recreation Specialist,THOMAS WHITE,Filled,10/18/12,11/5/12,11/14/12,11/30/12,12/11/12,12/26/12,12/30/12,1/4/13
11590,"CARBAJAL, BREE",F,"$38,563.98",HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Principal Administrative Aide,DAVID ANDERSON,Filled,10/19/12,11/5/12,11/12/12,11/26/12,12/13/12,12/23/12,12/30/12,1/4/13
11591,"LAZOR, HASSAN",M,"$39,155.30",PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative I,CHARLES MOORE,Filled,10/29/12,11/7/12,11/12/12,12/2/12,12/12/12,12/27/12,12/29/12,1/4/13
11592,"WANDREI, DARIN",M,"$90,252.85",DEP,Department of Environmental Protection,Construction,Fulltime-Regular,Engineer III,JAMES JOHNSON,Filled,11/4/12,11/18/12,11/29/12,12/9/12,12/20/12,12/24/12,12/29/12,1/4/13
11593,"BALLINA, JESUSITA",F,"$42,938.42",PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,CHARLES MOORE,Filled,10/28/12,11/5/12,11/16/12,11/30/12,12/14/12,12/23/12,12/29/12,1/4/13
11594,"LANGEHENNIG, PETER",F,"$46,029.07",FRS,Fire and Rescue Services,Emergency Communications Center (PSCC),Fulltime-Regular,Public Safety Communications Specialist III,JENNIFER MARTINEZ,Filled,10/23/12,11/7/12,11/17/12,12/10/12,12/20/12,12/24/12,12/28/12,1/4/13
11595,"SHEARHART, MOHAMMED",M,"$92,931.00",DGS,Department of General Services,Fleet Management Administration,Fulltime-Regular,Program Manager I,PATRICIA WILLIAMS,Filled,10/12/12,10/28/12,11/5/12,11/30/12,12/7/12,12/21/12,12/28/12,1/4/13
11596,"LEW, QUINN",M,"$52,681.36",POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,CHARLES MOORE,Filled,11/6/12,11/13/12,11/19/12,12/7/12,12/16/12,12/25/12,12/27/12,1/4/13
11597,"BRAZER, LENNY",M,"$25,424.63",DLC,Department of Liquor Control,Beer Warehouse Operations,Parttime-Regular,Warehouse Worker,JOHN BROWN,Filled,10/8/12,10/30/12,11/4/12,11/24/12,12/11/12,12/19/12,12/27/12,1/4/13
11598,"SANDS, LIZZIE",F,"$65,699.28",BOE,Board of Elections,Polling Place Management,Fulltime-Regular,Program Specialist II,MARY SMITH,Filled,10/8/12,10/28/12,11/7/12,11/24/12,12/8/12,12/19/12,12/27/12,1/4/13
11599,"MCQUAIDE, ALEXANDER",M,"$80,095.73",FRS,Fire and Rescue Services,Code Compliance,Fulltime-Regular,Permitting and Code Enforcement Inspector III,ELIZABETH RODRIGUEZ,Filled,11/7/12,11/13/12,11/14/12,12/1/12,12/10/12,12/22/12,12/25/12,1/4/13
11600,"MARBAKER, MILO",M,"$104,918.94",FIN,Department of Finance,Information Technology,Fulltime-Regular,Senior Information Technology Specialist,MICHAEL GARCIA,Filled,10/5/12,10/20/12,11/3/12,11/22/12,12/7/12,12/14/12,12/25/12,1/4/13
11601,"CHAREST, OTELIA",F,"$17,106.52",POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,JOSEPH JACKSON,Filled,10/14/12,10/24/12,11/7/12,11/23/12,12/4/12,12/12/12,12/24/12,1/4/13
11602,"FOSMARK, TEDDY",M,"$25,424.63",DLC,Department of Liquor Control,Beer Warehouse Operations,Parttime-Regular,Warehouse Worker,JOHN BROWN,Filled,10/8/12,10/21/12,11/4/12,11/21/12,11/30/12,12/17/12,12/23/12,1/4/13
11603,"HAIGLER, TAMMY",F,"$39,155.30",PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative I,CHARLES MOORE,Filled,10/29/12,11/7/12,11/14/12,11/28/12,12/9/12,12/15/12,12/23/12,1/4/13
11604,"NIBLICK, BEV",F,"$44,900.80",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,DAVID ANDERSON,Filled,10/18/12,10/24/12,11/2/12,11/19/12,11/29/12,12/10/12,12/22/12,1/4/13
11605,"AXTELL, AILEEN",F,"$52,472.21",COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,JAMES JOHNSON,Filled,11/1/12,11/10/12,11/16/12,12/7/12,12/13/12,12/19/12,12/21/12,1/4/13
11606,"GAUGH, BRENDAN",M,"$18,000.00",LIB,Department of Public Libraries,Davis Library,Parttime-Regular,Library Assistant I,SUSAN HERNANDEZ,Filled,10/7/12,10/15/12,10/20/12,11/14/12,11/26/12,12/14/12,12/21/12,1/4/13
11607,"MACLEISH, MOSE",M,"$88,794.68",FRS,Fire and Rescue Services,Code Compliance,Fulltime-Regular,Program Manager II,MICHAEL GARCIA,Filled,10/7/12,10/16/12,10/28/12,11/16/12,12/1/12,12/11/12,12/21/12,1/4/13
11608,"DOBERT, MIRA",F,"$49,583.00",COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,10/10/12,10/28/12,11/3/12,11/21/12,12/8/12,12/9/12,12/21/12,1/4/13
11609,"BRADDON, FILIBERTO",M,"$62,048.84",DPS,Department of Permitting Services,Land Development Permit Processing,Fulltime-Regular,Permit Technician III,BARBARA DAVIS,Filled,10/13/12,10/22/12,11/2/12,11/23/12,12/6/12,12/10/12,12/19/12,1/4/13
11610,"BULZOMI, HYON",F,"$50,533.19",SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,THOMAS WHITE,Filled,9/28/12,10/2/12,10/9/12,11/4/12,11/17/12,12/5/12,12/16/12,1/4/13
11611,"MAZURAK, STELLA",F,"$92,931.00",POL,Department of Police,MSB Employee Health and Wellness Division,Fulltime-Regular,Administrative Specialist III,DOROTHY THOMPSON,Filled,9/10/12,9/17/12,9/30/12,10/24/12,11/11/12,11/26/12,12/11/12,1/4/13
11612,"PEREZORTIZ, THANH",M,"$41,844.60",DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,JOHN BROWN,Filled,10/23/12,11/3/12,11/10/12,11/30/12,12/13/12,12/21/12,12/29/12,1/3/13
11613,"CHAPLES, SHARLENE",F,"$60,258.11",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,RICHARD THOMAS,Filled,10/28/12,11/10/12,11/17/12,11/29/12,12/14/12,12/21/12,12/28/12,1/3/13
11614,"BOCKMANN, LAURALEE",F,"$17,893.08",LIB,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Library Desk Assistant,SUSAN HERNANDEZ,Filled,10/31/12,11/7/12,11/14/12,12/1/12,12/11/12,12/18/12,12/28/12,1/3/13
11615,"SIMRIL, PALMER",M,"$41,844.60",DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,JOHN BROWN,Filled,10/4/12,10/20/12,11/2/12,11/22/12,12/4/12,12/16/12,12/28/12,1/3/13
11616,"RAHAMAN, CORINA",F,"$88,154.01",DGS,Department of General Services,Automation,Fulltime-Regular,Senior Information Technology Specialist,PATRICIA WILLIAMS,Filled,10/6/12,10/18/12,10/27/12,11/16/12,12/5/12,12/14/12,12/27/12,1/3/13
11617,"HOLZMANN, JOAN",M,"$69,732.01",CEX,Offices of the County Executive,CountyStat,Fulltime-Regular,Senior Management and Budget Specialist,MARY SMITH,Filled,10/4/12,10/18/12,10/31/12,11/21/12,12/2/12,12/14/12,12/27/12,1/3/13
11618,"LARREMORE, MITCHELL",M,"$41,844.60",DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,JOHN BROWN,Filled,10/12/12,10/24/12,11/2/12,11/25/12,12/4/12,12/15/12,12/26/12,1/3/13
11619,"FERSCHKE, QUINTON",M,"$53,520.00",POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/10/12,10/15/12,11/2/12,11/18/12,12/1/12,12/12/12,12/24/12,1/3/13
11620,"MALFA, STEFAN",M,"$54,541.00",COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/1/12,11/16/12,11/20/12,12/11/12,12/13/12,12/20/12,12/23/12,1/3/13
11621,"DOYLEY, DARRYL",M,"$78,928.59",DPS,Department of Permitting Services,Land Development Sediment Stormwater Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,BARBARA DAVIS,Filled,10/31/12,11/4/12,11/9/12,12/3/12,12/12/12,12/20/12,12/23/12,1/3/13
11622,"KANEFSKY, HILDA",F,"$60,258.10",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,MARIA TAYLOR,Filled,10/20/12,10/31/12,11/10/12,11/29/12,12/11/12,12/16/12,12/23/12,1/3/13
11623,"ROYAL, DEIDRA",F,"$55,329.23",COR,Correction and Rehabilitation,DO Fiscal Services,Fulltime-Regular,Fiscal Assistant,MARY SMITH,Filled,10/27/12,10/31/12,11/10/12,11/30/12,12/8/12,12/13/12,12/19/12,1/3/13
11624,"ORRIN, DARIO",M,"$57,333.00",POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/8/12,10/22/12,10/30/12,11/19/12,12/1/12,12/9/12,12/15/12,1/3/13
11625,"GINGER, ARLEN",M,"$53,520.00",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/13/12,10/23/12,11/3/12,11/18/12,11/28/12,12/9/12,12/13/12,1/3/13
11626,"ATHERTON, LYNNE",F,"$52,301.52",SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,THOMAS WHITE,Filled,10/11/12,10/20/12,10/28/12,11/15/12,11/26/12,12/3/12,12/12/12,1/3/13
11627,"REIDHEAD, SAMATHA",F,"$52,472.21",COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,MARY SMITH,Filled,10/3/12,10/15/12,10/24/12,11/12/12,11/27/12,12/5/12,12/11/12,1/3/13
11628,"GUYOT, CRUZ",M,"$23,331.20",LIB,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Associate,SUSAN HERNANDEZ,Filled,10/11/12,10/18/12,10/25/12,11/16/12,11/30/12,12/14/12,12/28/12,1/2/13
11629,"STAAF, FRED",F,"$76,315.85",DGS,Department of General Services,Planning and Development,Fulltime-Regular,Planning Specialist III,PATRICIA WILLIAMS,Filled,10/17/12,10/28/12,11/2/12,11/20/12,12/6/12,12/11/12,12/27/12,1/2/13
11630,"OTO, BRENDA",F,"$32,265.39",LIB,Department of Public Libraries,Olney Library,Parttime-Regular,Librarian I,SUSAN HERNANDEZ,Filled,10/9/12,10/20/12,11/2/12,11/21/12,12/4/12,12/14/12,12/26/12,1/2/13
11631,"INSOGNA, ARTIE",F,"$35,776.51",LIB,Department of Public Libraries,Silver Spring Library,Parttime-Regular,Library Associate,SUSAN HERNANDEZ,Filled,10/23/12,10/30/12,11/8/12,11/25/12,12/10/12,12/21/12,12/25/12,1/2/13
11632,"LUPPI, CORTNEY",F,"$60,258.10",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,JENNIFER MARTINEZ,Filled,10/24/12,11/3/12,11/11/12,11/27/12,12/8/12,12/16/12,12/25/12,1/2/13
11633,"IZEN, JENNELL",F,"$43,631.68",HHS,Department of Health and Human Services,"Chief, Public Health",Fulltime-Regular,Office Services Coordinator,RICHARD THOMAS,Filled,10/14/12,10/31/12,11/9/12,11/28/12,12/14/12,12/17/12,12/24/12,1/2/13
11634,"YEATS, SHAMEKA",F,"$170,687.00",CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Assistant Chief Administrative Officer,MARY SMITH,Filled,10/30/12,11/11/12,11/15/12,11/30/12,12/8/12,12/17/12,12/23/12,1/2/13
11635,"GAYOSO, CHET",M,"$44,054.67",HHS,Department of Health and Human Services,Urine Monitoring Program,Fulltime-Regular,Community Services Aide III,DAVID ANDERSON,Filled,10/18/12,11/1/12,11/8/12,11/28/12,12/10/12,12/16/12,12/23/12,1/2/13
11636,"HOLTBERG, ANTWAN",M,"$49,583.00",COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/5/12,11/8/12,11/9/12,11/24/12,12/3/12,12/10/12,12/19/12,1/2/13
11637,"MARJI, KELLI",F,"$47,892.14",POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,CHARLES MOORE,Filled,10/13/12,10/26/12,10/28/12,11/17/12,11/25/12,12/6/12,12/19/12,1/2/13
11638,"YUNKER, CARLTON",M,"$19,445.29",LIB,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Library Assistant I,SUSAN HERNANDEZ,Filled,10/11/12,10/30/12,11/5/12,11/26/12,11/30/12,12/13/12,12/17/12,1/2/13
11639,"KRELLER, IDELL",F,"$44,530.14",COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,JAMES JOHNSON,Filled,10/16/12,10/31/12,11/1/12,11/18/12,12/4/12,12/9/12,12/16/12,1/2/13
11640,"DOUR, GERALDO",M,"$41,001.87",HHS,Department of Health and Human Services,TB and Refugee Health,Fulltime-Regular,Principal Administrative Aide,MARIA TAYLOR,Filled,10/31/12,11/4/12,11/9/12,12/2/12,12/15/12,12/23/12,12/30/12,1/1/13
11641,"PEMBROOK, MELVIN",M,"$141,132.89",HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Manager II,RICHARD THOMAS,Filled,11/6/12,11/19/12,11/27/12,12/15/12,12/21/12,12/25/12,12/29/12,1/1/13
11642,"HANNIFORD, TOVA",F,"$64,065.42",HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Program Specialist II,JENNIFER MARTINEZ,Filled,10/9/12,10/18/12,10/28/12,11/17/12,12/3/12,12/17/12,12/28/12,1/1/13
11643,"SHAMES, PAT",M,"$41,844.60",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,10/20/12,11/4/12,11/12/12,12/3/12,12/17/12,12/22/12,12/27/12,1/1/13
11644,"BRANKLEY, DAMON",M,"$41,844.05",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,10/15/12,11/3/12,11/12/12,12/2/12,12/11/12,12/16/12,12/27/12,1/1/13
11645,"STICHER, FREDERICK",M,"$41,844.60",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,10/6/12,10/26/12,11/6/12,11/26/12,12/5/12,12/16/12,12/26/12,1/1/13
11646,"MCGROGAN, LESSIE",F,"$79,826.68",HHS,Department of Health and Human Services,Ombudsman Services,Fulltime-Regular,Program Manager I,DAVID ANDERSON,Filled,10/15/12,10/30/12,11/10/12,11/22/12,12/8/12,12/17/12,12/25/12,1/1/13
11647,"DORNQUAST, LUCIEN",M,"$41,844.61",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,10/8/12,10/28/12,11/4/12,11/24/12,12/5/12,12/13/12,12/24/12,1/1/13
11648,"LISENKO, KRAIG",M,"$41,844.60",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,10/20/12,10/30/12,11/7/12,11/29/12,12/8/12,12/14/12,12/23/12,1/1/13
11649,"PIDDINGTON, CORDIA",F,"$41,844.60",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,10/10/12,10/24/12,11/5/12,11/21/12,12/6/12,12/12/12,12/23/12,1/1/13
11650,"DOTHAGE, MERTIE",F,"$60,258.10",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,DAVID ANDERSON,Filled,10/5/12,10/17/12,10/28/12,11/19/12,12/4/12,12/12/12,12/23/12,1/1/13
11651,"KOWITZ, CLINT",M,"$92,931.00",POL,Department of Police,MSB Policy and Planning Division,Fulltime-Regular,Program Manager I,DOROTHY THOMPSON,Filled,10/18/12,10/26/12,11/2/12,11/18/12,11/28/12,12/10/12,12/19/12,1/1/13
11652,"WOLBER, NOLA",F,"$53,520.00",POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,10/1/12,10/13/12,10/22/12,11/14/12,11/27/12,12/10/12,12/19/12,1/1/13
11653,"SICOLA, RORY",M,"$75,738.68",SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Program Manager I,THOMAS WHITE,Filled,10/2/12,10/20/12,10/24/12,11/16/12,11/27/12,12/9/12,12/18/12,1/1/13
11654,"HILDEN, REINALDO",M,"$53,520.00",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,MARGARET MARTIN,Filled,10/12/12,10/19/12,10/25/12,11/11/12,11/25/12,12/9/12,12/18/12,1/1/13
11655,"SABINE, ENRIQUE",M,"$90,766.81",HHS,Department of Health and Human Services,Chief Special Needs Housing,Fulltime-Regular,Program Manager II,RICHARD THOMAS,Filled,12/4/11,12/14/11,12/27/11,1/13/12,1/19/12,1/23/12,1/27/12,1/30/12
11656,"KEPLEY, KATLYN",F,"$75,416.94",HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,JENNIFER MARTINEZ,Filled,11/12/11,11/27/11,12/6/11,12/23/11,1/4/12,1/14/12,1/27/12,1/30/12
11657,"UMBER, MAXWELL",M,"$63,293.73",HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,RICHARD THOMAS,Filled,12/20/11,12/24/11,12/28/11,1/10/12,1/15/12,1/22/12,1/25/12,1/30/12
11658,"GOSEWISCH, CASIE",F,"$85,274.12",HHS,Department of Health and Human Services,Disease Control - Immunization,Fulltime-Regular,Community Health Nurse II,RICHARD THOMAS,Filled,11/12/11,11/28/11,12/5/11,12/21/11,12/29/11,1/13/12,1/25/12,1/30/12
11659,"WORSLEY, JENICE",F,"$79,208.16",PIO,Office of Public Information,Cable Programming,Fulltime-Regular,Program Manager I,CHARLES MOORE,Filled,12/3/11,12/7/11,12/16/11,12/28/11,1/8/12,1/20/12,1/24/12,1/30/12
11660,"KYONG, BRYANNA",F,"$54,780.10",DEP,Department of Environmental Protection,Management Services,Fulltime-Regular,Planning Specialist II,PATRICIA WILLIAMS,Filled,11/7/11,11/25/11,12/6/11,12/27/11,1/6/12,1/14/12,1/24/12,1/30/12
11661,"ALIG, VIOLETA",F,"$80,728.36",HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,MARIA TAYLOR,Filled,12/1/11,12/9/11,12/11/11,12/27/11,1/6/12,1/13/12,1/24/12,1/30/12
11662,"MAKISHIMA, BETTINA",F,"$129,190.86",HHS,Department of Health and Human Services,ADA - HIPPA Compliance,Fulltime-Regular,Manager III,MARIA TAYLOR,Filled,11/18/11,12/5/11,12/13/11,12/28/11,1/10/12,1/19/12,1/22/12,1/30/12
11663,"LANGNESS, VANNESA",F,"$46,465.50",HHS,Department of Health and Human Services,Chief Office of Community Affairs,Parttime-Regular,Planning Specialist III,JENNIFER MARTINEZ,Filled,11/15/11,12/4/11,12/14/11,1/1/12,1/12/12,1/16/12,1/21/12,1/30/12
11664,"MIRRA, TAWANA",F,"$54,780.10",HHS,Department of Health and Human Services,Autism Waiver,Fulltime-Regular,Program Specialist II,MARIA TAYLOR,Filled,11/6/11,11/25/11,12/1/11,12/20/11,1/3/12,1/16/12,1/21/12,1/30/12
11665,"BRAMANTE, ISIDRO",M,"$72,568.64",DLC,Department of Liquor Control,"Licensure, Regulation and Education",Fulltime-Regular,Alcohol/Tobacco Enforcement Specialist II,JOHN BROWN,Filled,11/15/11,11/27/11,12/5/11,12/18/11,1/5/12,1/12/12,1/19/12,1/30/12
11666,"GREENAMYER, CARY",M,"$62,556.42",DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector III,BARBARA DAVIS,Filled,11/25/11,11/30/11,12/9/11,12/24/11,1/2/12,1/9/12,1/18/12,1/30/12
11667,"MAROLDA, RICKY",M,"$38,890.57",POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Principal Administrative Aide,MARGARET MARTIN,Filled,11/10/11,11/18/11,11/25/11,12/15/11,12/27/11,1/7/12,1/17/12,1/30/12
11668,"VANMERSBERGEN, EULAH",F,"$40,251.01",HHS,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Fulltime-Regular,Principal Administrative Aide,RICHARD THOMAS,Filled,11/20/11,12/2/11,12/13/11,1/3/12,1/8/12,1/11/12,1/15/12,1/30/12
11669,"HUNTOON, DARNELL",M,"$41,844.60",DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permit Technician III,BARBARA DAVIS,Filled,11/3/11,11/18/11,11/30/11,12/20/11,12/30/11,1/7/12,1/14/12,1/30/12
11670,"ROGOW, ORLANDO",M,"$126,587.44",CAT,County Attorney's Office,Finance and Procurement,Fulltime-Regular,Assistant County Attorney III,MARY SMITH,Filled,11/7/11,11/18/11,11/27/11,12/16/11,12/23/11,12/27/11,1/8/12,1/30/12
11671,"DOLLISON, COY",M,"$56,817.00",FRS,Fire and Rescue Services,Station 20,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/19/11,12/3/11,12/11/11,12/29/11,1/12/12,1/19/12,1/25/12,1/27/12
11672,"POSTHUMA, LORI",F,"$71,934.58",FRS,Fire and Rescue Services,Code Compliance,Fulltime-Regular,Administrative Specialist II,ELIZABETH RODRIGUEZ,Filled,12/14/11,12/23/11,12/30/11,1/13/12,1/18/12,1/20/12,1/24/12,1/27/12
11673,"LAHAIR, FLETCHER",M,"$43,308.58",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/23/11,11/29/11,12/7/11,12/27/11,1/11/12,1/19/12,1/24/12,1/27/12
11674,"BARONET, DUNCAN",M,"$102,153.00",HHS,Department of Health and Human Services,Budget Team,Fulltime-Regular,Management and Budget Specialist III,MARIA TAYLOR,Filled,11/24/11,12/7/11,12/13/11,12/29/11,1/11/12,1/17/12,1/22/12,1/27/12
11675,"KLEPADLO, EMIKO",F,"$58,001.00",FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,11/16/11,11/27/11,12/10/11,12/30/11,1/9/12,1/16/12,1/22/12,1/27/12
11676,"GAITHER, ROSS",M,"$60,610.00",FRS,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,MICHAEL GARCIA,Filled,11/17/11,12/1/11,12/7/11,12/23/11,1/1/12,1/9/12,1/22/12,1/27/12
11677,"MAHRE, RICKIE",M,"$54,780.00",FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,11/8/11,11/21/11,12/2/11,12/20/11,12/31/11,1/8/12,1/22/12,1/27/12
11678,"OSTROSKY, JAYSON",M,"$52,171.00",FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/20/11,11/28/11,12/9/11,12/31/11,1/10/12,1/18/12,1/21/12,1/27/12
11679,"EISSA, KENNETH",M,"$60,610.00",FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,12/1/11,12/5/11,12/11/11,12/27/11,1/7/12,1/14/12,1/21/12,1/27/12
11680,"BACHAR, EDGAR",M,"$54,780.00",FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,11/9/11,11/16/11,11/29/11,12/23/11,1/2/12,1/13/12,1/21/12,1/27/12
11681,"EMBLEY, CATINA",F,"$68,425.58",LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Senior Librarian,SUSAN HERNANDEZ,Filled,10/28/11,11/9/11,11/23/11,12/16/11,12/29/11,1/8/12,1/21/12,1/27/12
11682,"WARBRITTON, LAHOMA",F,"$16,040.59",LIB,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Library Aide,SUSAN HERNANDEZ,Filled,11/23/11,12/5/11,12/12/11,12/30/11,1/10/12,1/16/12,1/20/12,1/27/12
11683,"DANYSH, DARYL",M,"$54,780.00",FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,12/6/11,12/8/11,12/13/11,12/31/11,1/10/12,1/13/12,1/20/12,1/27/12
11684,"DINGES, PIERRE",M,"$41,844.60",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/2/11,11/25/11,12/8/11,12/22/11,1/6/12,1/13/12,1/20/12,1/27/12
11685,"GARSTECKI, RONNIE",M,"$60,610.00",FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,JENNIFER MARTINEZ,Filled,11/24/11,12/1/11,12/9/11,12/28/11,1/3/12,1/12/12,1/20/12,1/27/12
11686,"GRINTER, FLETCHER",M,"$43,308.58",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/7/11,11/20/11,11/29/11,12/18/11,1/4/12,1/11/12,1/20/12,1/27/12
11687,"FUNDERBURK, MARVIN",M,"$52,171.00",FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/10/11,11/22/11,11/30/11,12/18/11,12/29/11,1/11/12,1/20/12,1/27/12
11688,"FAPPIANO, WILSON",M,"$43,308.58",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/3/11,11/20/11,11/25/11,12/13/11,12/29/11,1/7/12,1/20/12,1/27/12
11689,"FORYSTEK, PAUL",M,"$54,780.00",FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,11/8/11,11/21/11,11/29/11,12/21/11,1/6/12,1/14/12,1/19/12,1/27/12
11690,"LOVDAHL, HIRAM",M,"$52,171.00",FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,MICHAEL GARCIA,Filled,11/5/11,11/13/11,11/28/11,12/16/11,1/1/12,1/10/12,1/19/12,1/27/12
